behavior,rmse_lon_deg,n_compared_bands,a_wind,b_crosswind,c_distance,d_food
behavior_149,15.096905379770027,15,0.4,0.2,0.2,0.2
behavior_086,15.134204788273266,15,0.2,0.2,0.3,0.3
behavior_125,15.134204788273266,15,0.3,0.3,0.2,0.2
behavior_072,15.152576604696515,15,0.2,0.0,0.3,0.5
behavior_106,15.152576604696515,15,0.3,0.0,0.3,0.4
behavior_119,15.228157516537893,15,0.3,0.2,0.2,0.3
behavior_113,15.24836388073183,15,0.3,0.1,0.3,0.3
behavior_133,15.30871487566547,15,0.3,0.5,0.1,0.1
behavior_061,15.313609040387457,15,0.1,0.4,0.0,0.5
behavior_062,15.313609040387457,15,0.1,0.4,0.1,0.4
behavior_096,15.313609040387457,15,0.2,0.4,0.0,0.4
behavior_101,15.317071468625587,15,0.2,0.5,0.0,0.3
behavior_055,15.327672083881394,15,0.1,0.3,0.1,0.5
behavior_067,15.329106561977289,15,0.1,0.5,0.0,0.4
behavior_019,15.393974547902076,15,0.0,0.3,0.2,0.5
behavior_025,15.45874393101998,15,0.0,0.4,0.1,0.5
behavior_031,15.505524207208323,15,0.0,0.5,0.0,0.5
behavior_132,15.590002409715336,15,0.3,0.5,0.0,0.2
behavior_056,15.603071503043346,15,0.1,0.3,0.2,0.4
behavior_104,15.883006580478954,15,0.2,0.5,0.3,0.0
behavior_092,15.936544896223277,15,0.2,0.3,0.2,0.3
behavior_032,16.034043838212906,15,0.0,0.5,0.1,0.4
behavior_063,16.344109713421574,15,0.1,0.4,0.2,0.3
behavior_068,16.344109713421574,15,0.1,0.5,0.1,0.3
behavior_103,16.525683343301825,15,0.2,0.5,0.2,0.1
behavior_069,16.53798301922494,15,0.1,0.5,0.2,0.2
behavior_098,16.53798301922494,15,0.2,0.4,0.2,0.2
behavior_102,16.53798301922494,15,0.2,0.5,0.1,0.2
behavior_097,16.554348458111374,15,0.2,0.4,0.1,0.3
behavior_042,17.5123236092124,15,0.1,0.0,0.9,0.0
behavior_077,17.5123236092124,15,0.2,0.0,0.8,0.0
behavior_110,17.5123236092124,15,0.3,0.0,0.7,0.0
behavior_140,17.5123236092124,15,0.4,0.0,0.6,0.0
behavior_166,17.5123236092124,15,0.5,0.0,0.5,0.0
behavior_109,17.549026527139933,15,0.3,0.0,0.6,0.1
behavior_139,17.549026527139933,15,0.4,0.0,0.5,0.1
behavior_076,17.57254046048853,15,0.2,0.0,0.7,0.1
behavior_145,17.575557879300842,15,0.4,0.1,0.4,0.1
behavior_083,17.58675277745576,15,0.2,0.1,0.7,0.0
behavior_116,17.58675277745576,15,0.3,0.1,0.6,0.0
behavior_122,17.58675277745576,15,0.3,0.2,0.5,0.0
behavior_146,17.58675277745576,15,0.4,0.1,0.5,0.0
behavior_151,17.58675277745576,15,0.4,0.2,0.4,0.0
behavior_108,17.596257482625276,15,0.3,0.0,0.5,0.2
behavior_115,17.599270835122503,15,0.3,0.1,0.5,0.1
behavior_041,17.608674796348758,15,0.1,0.0,0.8,0.1
behavior_075,17.608674796348758,15,0.2,0.0,0.6,0.2
behavior_107,17.608674796348758,15,0.3,0.0,0.4,0.3
behavior_074,17.668447783800328,15,0.2,0.0,0.5,0.3
behavior_114,17.668447783800328,15,0.3,0.1,0.4,0.2
behavior_082,17.671448826342065,15,0.2,0.1,0.6,0.1
behavior_121,17.712525450888947,15,0.3,0.2,0.4,0.1
behavior_040,17.79199408265824,15,0.1,0.0,0.7,0.2
behavior_127,17.902896573521343,15,0.3,0.3,0.4,0.0
behavior_095,17.94331927225043,15,0.2,0.3,0.5,0.0
behavior_100,17.972199933360752,15,0.2,0.4,0.4,0.0
behavior_087,18.008582306162925,15,0.2,0.2,0.4,0.2
behavior_094,18.0487683087117,15,0.2,0.3,0.4,0.1
behavior_039,18.107070641067523,15,0.1,0.0,0.6,0.3
behavior_081,18.107070641067523,15,0.2,0.1,0.5,0.2
behavior_011,18.120745305161122,15,0.0,0.1,0.8,0.1
behavior_046,18.120745305161122,15,0.1,0.1,0.6,0.2
behavior_047,18.120745305161122,15,0.1,0.1,0.7,0.1
behavior_048,18.123671453313936,15,0.1,0.1,0.8,0.0
behavior_054,18.123671453313936,15,0.1,0.2,0.7,0.0
behavior_088,18.123671453313936,15,0.2,0.2,0.5,0.1
behavior_089,18.123671453313936,15,0.2,0.2,0.6,0.0
behavior_004,18.24862287160206,15,0.0,0.0,0.8,0.2
behavior_005,18.24862287160206,15,0.0,0.0,0.9,0.1
behavior_006,18.251528517992828,15,0.0,0.0,1.0,0.0
behavior_012,18.286599941590254,15,0.0,0.1,0.9,0.0
behavior_018,18.286599941590254,15,0.0,0.2,0.8,0.0
behavior_080,18.373371375093328,15,0.2,0.1,0.4,0.3
