behavior,step_index,source_h3,target_h3,source_lon,source_lat,target_lon,target_lat,edge_distance_km,w_cost,c_cost,d_cost,f_cost,total_edge_cost
wind_distance_balanced,1,83eea8fffffffff,83eea9fffffffff,-19.66157766610559,-71.63499815961013,-22.908337741748497,-71.08055392741916,130.8164656706346,42.78646706902429,2.063634335443401,49.99880936746571,0.0,46.392638218245
wind_distance_balanced,2,83eea9fffffffff,83eef6fffffffff,-22.908337741748497,-71.08055392741916,-22.93767335297101,-69.90860023748981,130.3200320858846,45.1095167669407,4.063747105424048,49.99880936746571,37.62434584327977,47.554163067203206
wind_distance_balanced,3,83eef6fffffffff,83eef2fffffffff,-22.93767335297101,-69.90860023748981,-22.963807532716743,-68.74106819827931,129.8278699971938,42.15629383777624,8.65101343976539,49.99880936746571,0.0,46.07755160262097
wind_distance_balanced,4,83eef2fffffffff,83eed4fffffffff,-22.963807532716743,-68.74106819827931,-22.98723721966428,-67.57889689810469,129.23136294407567,41.66755775902711,14.437269384379029,49.99880936746571,3.776228977393972,45.83318356324641
wind_distance_balanced,5,83eed4fffffffff,83eed0fffffffff,-22.98723721966428,-67.57889689810469,-23.008361564878307,-66.4229990560098,128.53342790042396,41.426586276509695,20.021531181393613,49.99880936746571,1.405669607210927,45.7126978219877
wind_distance_balanced,6,83eed0fffffffff,83eed3fffffffff,-23.008361564878307,-66.4229990560098,-23.02750485695077,-65.27425705485093,127.73742649556216,41.16075068607643,24.0474713635908,49.99880936746571,13.731208635665173,45.579780026771076
wind_distance_balanced,7,83eed3fffffffff,83dd2dfffffffff,-23.02750485695077,-65.27425705485093,-23.044933286651563,-64.13351932016091,126.84712561030008,41.21089518312858,28.342887816411142,49.99880936746571,0.0,45.60485227529715
wind_distance_balanced,8,83dd2dfffffffff,83dd29fffffffff,-23.044933286651563,-64.13351932016091,-23.060867399642326,-63.001597079734026,125.86665437415208,41.55498175327873,32.160476358930026,49.99880936746571,9.93927472817853,45.776895560372225
wind_distance_balanced,9,83dd29fffffffff,83dd76fffffffff,-23.060867399642326,-63.001597079734026,-23.075491477942325,-61.87926153010602,124.80045844448124,41.86406994653228,36.03411049813578,49.99880936746571,6.206236425787495,45.931439656999
wind_distance_balanced,10,83dd76fffffffff,83dd72fffffffff,-23.075491477942325,-61.87926153010602,-23.088960698961227,-60.7672414274957,123.6532524639178,42.36038352651871,44.59262671159023,49.99880936746571,13.91361683060881,46.17959644699221
wind_distance_balanced,11,83dd72fffffffff,83dd54fffffffff,-23.088960698961227,-60.7672414274957,-23.10140666299594,-59.66622111244909,122.42997158183024,42.212250381958,50.878002663721766,49.99880936746571,4.195037817726884,46.105529874711856
