behavior,rmse_km,n_compared_bands,a_wind,b_crosswind,c_distance,d_food
behavior_181,631.5065506906403,14,0.5,0.5,0.0,0.0
behavior_196,631.5065506906403,14,0.6,0.4,0.0,0.0
behavior_172,637.0795111319884,14,0.5,0.2,0.0,0.3
behavior_037,639.8241326629109,14,0.1,0.0,0.4,0.5
behavior_197,690.1734882008559,14,0.7,0.0,0.0,0.3
behavior_032,695.3932985073028,14,0.0,0.5,0.1,0.4
behavior_062,708.9369153473833,14,0.1,0.4,0.1,0.4
behavior_123,714.250176391883,14,0.3,0.3,0.0,0.4
behavior_147,714.8818094346224,14,0.4,0.2,0.0,0.4
behavior_141,715.8268887100919,14,0.4,0.1,0.0,0.5
behavior_161,717.3220359308611,14,0.5,0.0,0.0,0.5
behavior_117,733.9851298280201,14,0.3,0.2,0.0,0.5
behavior_025,738.1082401304836,14,0.0,0.4,0.1,0.5
behavior_067,738.6051984664375,14,0.1,0.5,0.0,0.4
behavior_055,739.3737988277246,14,0.1,0.3,0.1,0.5
behavior_096,740.4892423508985,14,0.2,0.4,0.0,0.4
behavior_101,740.4892423508985,14,0.2,0.5,0.0,0.3
behavior_090,741.0985123599235,14,0.2,0.3,0.0,0.5
behavior_061,741.1080600214443,14,0.1,0.4,0.0,0.5
behavior_198,778.520148957919,14,0.7,0.0,0.1,0.2
behavior_099,781.936072163349,14,0.2,0.4,0.3,0.1
behavior_104,813.2655726456811,14,0.2,0.5,0.3,0.0
behavior_064,851.1882813589335,14,0.1,0.4,0.3,0.2
behavior_065,858.5836555568351,14,0.1,0.4,0.4,0.1
behavior_094,860.2075337637605,14,0.2,0.3,0.4,0.1
behavior_100,860.2075337637605,14,0.2,0.4,0.4,0.0
behavior_121,860.2075337637605,14,0.3,0.2,0.4,0.1
behavior_127,860.2075337637605,14,0.3,0.3,0.4,0.0
behavior_070,864.8265454308893,14,0.1,0.5,0.3,0.1
behavior_071,864.8265454308893,14,0.1,0.5,0.4,0.0
behavior_035,883.6270254034911,14,0.0,0.5,0.4,0.1
behavior_036,883.6270254034911,14,0.0,0.5,0.5,0.0
behavior_039,899.8110921640972,14,0.1,0.0,0.6,0.3
behavior_040,899.8110921640972,14,0.1,0.0,0.7,0.2
behavior_041,899.8110921640972,14,0.1,0.0,0.8,0.1
behavior_042,899.8110921640972,14,0.1,0.0,0.9,0.0
behavior_074,899.8110921640972,14,0.2,0.0,0.5,0.3
behavior_075,899.8110921640972,14,0.2,0.0,0.6,0.2
behavior_076,899.8110921640972,14,0.2,0.0,0.7,0.1
behavior_077,899.8110921640972,14,0.2,0.0,0.8,0.0
behavior_108,899.8110921640972,14,0.3,0.0,0.5,0.2
behavior_109,899.8110921640972,14,0.3,0.0,0.6,0.1
behavior_110,899.8110921640972,14,0.3,0.0,0.7,0.0
behavior_139,899.8110921640972,14,0.4,0.0,0.5,0.1
behavior_140,899.8110921640972,14,0.4,0.0,0.6,0.0
behavior_003,901.4750544567228,14,0.0,0.0,0.7,0.3
behavior_004,901.4750544567228,14,0.0,0.0,0.8,0.2
behavior_005,901.4750544567228,14,0.0,0.0,0.9,0.1
behavior_006,901.4750544567228,14,0.0,0.0,1.0,0.0
behavior_115,906.4701884304877,14,0.3,0.1,0.5,0.1
behavior_116,906.4701884304877,14,0.3,0.1,0.6,0.0
behavior_146,906.4701884304877,14,0.4,0.1,0.5,0.0
behavior_010,907.2285162356022,14,0.0,0.1,0.7,0.2
behavior_011,907.2285162356022,14,0.0,0.1,0.8,0.1
behavior_012,907.2285162356022,14,0.0,0.1,0.9,0.0
behavior_016,907.2285162356022,14,0.0,0.2,0.6,0.2
behavior_017,907.2285162356022,14,0.0,0.2,0.7,0.1
behavior_018,907.2285162356022,14,0.0,0.2,0.8,0.0
behavior_022,907.2285162356022,14,0.0,0.3,0.5,0.2
behavior_023,907.2285162356022,14,0.0,0.3,0.6,0.1
behavior_024,907.2285162356022,14,0.0,0.3,0.7,0.0
behavior_029,907.2285162356022,14,0.0,0.4,0.5,0.1
behavior_030,907.2285162356022,14,0.0,0.4,0.6,0.0
behavior_046,907.2285162356022,14,0.1,0.1,0.6,0.2
behavior_047,907.2285162356022,14,0.1,0.1,0.7,0.1
behavior_048,907.2285162356022,14,0.1,0.1,0.8,0.0
behavior_052,907.2285162356022,14,0.1,0.2,0.5,0.2
behavior_053,907.2285162356022,14,0.1,0.2,0.6,0.1
behavior_054,907.2285162356022,14,0.1,0.2,0.7,0.0
behavior_058,907.2285162356022,14,0.1,0.3,0.4,0.2
behavior_059,907.2285162356022,14,0.1,0.3,0.5,0.1
behavior_060,907.2285162356022,14,0.1,0.3,0.6,0.0
behavior_066,907.2285162356022,14,0.1,0.4,0.5,0.0
behavior_081,907.2285162356022,14,0.2,0.1,0.5,0.2
behavior_082,907.2285162356022,14,0.2,0.1,0.6,0.1
behavior_083,907.2285162356022,14,0.2,0.1,0.7,0.0
behavior_087,907.2285162356022,14,0.2,0.2,0.4,0.2
behavior_088,907.2285162356022,14,0.2,0.2,0.5,0.1
behavior_089,907.2285162356022,14,0.2,0.2,0.6,0.0
behavior_095,907.2285162356022,14,0.2,0.3,0.5,0.0
behavior_122,907.2285162356022,14,0.3,0.2,0.5,0.0
behavior_186,958.9166755453925,14,0.6,0.0,0.4,0.0
behavior_038,1008.1195198780971,14,0.1,0.0,0.5,0.4
behavior_009,1067.2577944394602,14,0.0,0.1,0.6,0.3
behavior_015,1080.2515211467298,14,0.0,0.2,0.5,0.3
behavior_028,1080.2515211467298,14,0.0,0.4,0.4,0.2
behavior_002,1088.99262720877,14,0.0,0.0,0.6,0.4
behavior_045,1100.1065905869123,14,0.1,0.1,0.5,0.3
behavior_051,1109.265946178973,14,0.1,0.2,0.4,0.3
behavior_031,1123.025342393026,14,0.0,0.5,0.0,0.5
behavior_200,1246.9585901569353,14,0.7,0.0,0.3,0.0
behavior_199,1262.7355854014313,14,0.7,0.0,0.2,0.1
behavior_203,1269.6262594742084,14,0.7,0.1,0.2,0.0
behavior_021,1287.511640827381,14,0.0,0.3,0.4,0.3
behavior_201,1287.529008730012,14,0.7,0.1,0.0,0.2
behavior_202,1287.529008730012,14,0.7,0.1,0.1,0.1
behavior_205,1305.1648386249651,14,0.7,0.2,0.1,0.0
behavior_204,1315.5560015022888,14,0.7,0.2,0.0,0.1
behavior_007,1324.5078870652012,14,0.0,0.1,0.4,0.5
behavior_008,1324.5078870652012,14,0.0,0.1,0.5,0.4
behavior_014,1324.5078870652012,14,0.0,0.2,0.4,0.4
behavior_044,1324.5078870652012,14,0.1,0.1,0.4,0.4
behavior_001,1325.8532230309845,14,0.0,0.0,0.5,0.5
behavior_209,1352.1532396448176,14,0.8,0.0,0.2,0.0
behavior_211,1359.3278086117923,14,0.8,0.1,0.1,0.0
behavior_210,1364.2910415941578,14,0.8,0.1,0.0,0.1
behavior_208,1367.960978160186,14,0.8,0.0,0.1,0.1
behavior_207,1368.9771703928423,14,0.8,0.0,0.0,0.2
behavior_206,1396.1160915958014,14,0.7,0.3,0.0,0.0
behavior_214,1561.627969157949,14,0.9,0.0,0.1,0.0
behavior_213,1571.3586240046664,14,0.9,0.0,0.0,0.1
behavior_215,1678.818728596376,14,0.9,0.1,0.0,0.0
behavior_212,1703.3362199939831,14,0.8,0.2,0.0,0.0
behavior_216,1717.9578579578058,14,1.0,0.0,0.0,0.0
behavior_034,2072.2560384706817,14,0.0,0.5,0.3,0.2
behavior_027,2121.354612248687,14,0.0,0.4,0.3,0.3
behavior_033,2267.1919128504046,14,0.0,0.5,0.2,0.3
