variable,support,count,mean,median,std,min,max
speed,square,47321,4.708202240413346,4.329619,2.072649335612961,0.37214124,16.705406
u10,square,47321,-0.12459323230475666,-0.068761304,4.17529053691838,-12.637339,11.320763
v10,square,47321,0.30854868310646966,0.106180996,2.4357617609914324,-9.011512,16.268272
chlor_a,square,47321,0.2161824985581877,0.12171587,0.4376058515237604,0.0,25.040886
speed,h3,27216,4.79400090880438,4.5248852500000005,1.9063948887229323,0.37214124,14.472017
u10,h3,27216,-0.4150177149111932,-0.49394459999999996,4.324442964524495,-12.637339,11.320763
v10,h3,27216,0.2744163722628935,0.11300824500000001,2.1283601642841607,-8.735212,14.260103
chlor_a,h3,27216,0.22370286065237358,0.140708245,0.3633007143405785,0.0,16.155304
