source_h3,target_h3,source_lon,source_lat,target_lon,target_lat,edge_distance_km,edge_bearing_deg,source_u10,source_v10,source_speed,source_chlor_a,target_chlor_a
830000fffffffff,830001fffffffff,38.02340700796989,79.24239850975904,34.26932302338498,80.11677141025228,122.61234295384858,324.269625587488,-0.4579234,-1.7766691,2.7535539,1.8725796,0.0
830000fffffffff,830002fffffffff,38.02340700796989,79.24239850975904,43.75098847490955,79.24756210656105,118.80166260100398,86.90986405342761,-0.4579234,-1.7766691,2.7535539,1.8725796,1.9681301
830000fffffffff,830003fffffffff,38.02340700796989,79.24239850975904,40.49488067269076,80.19095721433925,116.30280970113368,23.73196793687429,-0.4579234,-1.7766691,2.7535539,1.8725796,1.4305017
830000fffffffff,830004fffffffff,38.02340700796989,79.24239850975904,35.9758018082166,78.28997925905192,114.80187808807652,203.7319679368733,-0.4579234,-1.7766691,2.7535539,1.8725796,1.7774838
830000fffffffff,830005fffffffff,38.02340700796989,79.24239850975904,32.41364991071507,79.1345859133172,117.57354581791456,266.9098640534259,-0.4579234,-1.7766691,2.7535539,1.8725796,1.024748
830000fffffffff,830006fffffffff,38.02340700796989,79.24239850975904,41.20060633382336,78.33211415004435,122.29423767240137,144.26962558748983,-0.4579234,-1.7766691,2.7535539,1.8725796,1.8250461
830001fffffffff,830000fffffffff,34.26932302338498,80.11677141025228,38.02340700796989,79.24239850975904,122.61234295384858,140.57612808059667,-0.2704201,-1.7256691,2.7201042,0.0,1.8725796
830001fffffffff,830003fffffffff,34.26932302338498,80.11677141025228,40.49488067269076,80.19095721433925,118.60685790574048,82.95068226340891,-0.2704201,-1.7256691,2.7201042,0.0,1.4305017
830001fffffffff,830005fffffffff,34.26932302338498,80.11677141025228,32.41364991071507,79.1345859133172,115.34841083348428,199.70416074653463,-0.2704201,-1.7256691,2.7201042,0.0,1.024748
830001fffffffff,83000cfffffffff,34.26932302338498,80.11677141025228,29.808287305095263,80.94319884056402,122.84057596231628,320.5761280805988,-0.2704201,-1.7256691,2.7201042,0.0,0.5065826
830001fffffffff,83000efffffffff,34.26932302338498,80.11677141025228,36.5589999989751,81.0988307976139,116.81641371915804,19.704160746531045,-0.2704201,-1.7256691,2.7201042,0.0,0.0
830001fffffffff,83002afffffffff,34.26932302338498,80.11677141025228,28.26751429885717,79.93319689402763,117.33437994257793,262.95068226341283,-0.2704201,-1.7256691,2.7201042,0.0,0.5507484
830002fffffffff,830000fffffffff,43.75098847490955,79.24756210656105,38.02340700796989,79.24239850975904,118.80166260100398,272.53699823583,-0.77412635,-1.3794861,2.5942912,1.9681301,1.8725796
830002fffffffff,830003fffffffff,43.75098847490955,79.24756210656105,40.49488067269076,80.19095721433925,123.1661273211095,329.96213456418855,-0.77412635,-1.3794861,2.5942912,1.9681301,1.4305017
830002fffffffff,830006fffffffff,43.75098847490955,79.24756210656105,41.20060633382336,78.33211415004435,115.74090418181648,209.69553334945712,-0.77412635,-1.3794861,2.5942912,1.9681301,1.8250461
830002fffffffff,830011fffffffff,43.75098847490955,79.24756210656105,49.48433311828839,79.14678868406263,119.96525218481467,92.53699823582906,-0.77412635,-1.3794861,2.5942912,1.9681301,1.0324636
830002fffffffff,830015fffffffff,43.75098847490955,79.24756210656105,46.4729694675059,78.27865044836899,122.79731395377088,149.9621345641886,-0.77412635,-1.3794861,2.5942912,1.9681301,0.6857187
830002fffffffff,83001cfffffffff,43.75098847490955,79.24756210656105,46.80505562258983,80.14965164562977,117.22557290655814,29.695533349456525,-0.77412635,-1.3794861,2.5942912,1.9681301,0.0
830003fffffffff,830000fffffffff,40.49488067269076,80.19095721433925,38.02340700796989,79.24239850975904,116.30280970113368,206.16383773205027,-0.6611602,-1.673046,2.748059,1.4305017,1.8725796
830003fffffffff,830001fffffffff,40.49488067269076,80.19095721433925,34.26932302338498,80.11677141025228,118.60685790574048,269.0847183624702,-0.6611602,-1.673046,2.748059,1.4305017,0.0
830003fffffffff,830002fffffffff,40.49488067269076,80.19095721433925,43.75098847490955,79.24756210656105,123.1661273211095,146.75816731233022,-0.6611602,-1.673046,2.748059,1.4305017,1.9681301
830003fffffffff,83000efffffffff,40.49488067269076,80.19095721433925,36.5589999989751,81.0988307976139,123.44419431048333,326.75816731233164,-0.6611602,-1.673046,2.748059,1.4305017,0.0
830003fffffffff,83001cfffffffff,40.49488067269076,80.19095721433925,46.80505562258983,80.14965164562977,119.81663912136524,89.08471836247071,-0.6611602,-1.673046,2.748059,1.4305017,0.0
830003fffffffff,83001dfffffffff,40.49488067269076,80.19095721433925,43.52421550131987,81.1292607318741,117.75436504121438,26.16383773205115,-0.6611602,-1.673046,2.748059,1.4305017,1.8391465
830004fffffffff,830000fffffffff,35.9758018082166,78.28997925905192,38.02340700796989,79.24239850975904,114.80187808807652,21.723516638634067,-0.49881202,-1.8544704,2.7823787,1.7774838,1.8725796
830004fffffffff,830005fffffffff,35.9758018082166,78.28997925905192,32.41364991071507,79.1345859133172,121.74126871608205,322.1969639804177,-0.49881202,-1.8544704,2.7823787,1.7774838,1.024748
830004fffffffff,830006fffffffff,35.9758018082166,78.28997925905192,41.20060633382336,78.33211415004435,117.75811281535144,85.16383475247017,-0.49881202,-1.8544704,2.7823787,1.7774838,1.8250461
830004fffffffff,830022fffffffff,35.9758018082166,78.28997925905192,34.25574794254951,77.33823940738004,113.25673163351222,201.72351663863628,-0.49881202,-1.8544704,2.7823787,1.7774838,1.2792943
830004fffffffff,830023fffffffff,35.9758018082166,78.28997925905192,30.88226077950457,78.15617299998873,116.51407078945904,265.16383475246977,-0.49881202,-1.8544704,2.7823787,1.7774838,1.7964491
830004fffffffff,830031fffffffff,35.9758018082166,78.28997925905192,39.04680379264652,77.40990455122223,121.38512041715242,142.19696398041805,-0.49881202,-1.8544704,2.7823787,1.7774838,1.3787714
830005fffffffff,830000fffffffff,32.41364991071507,79.1345859133172,38.02340700796989,79.24239850975904,117.57354581791456,81.39952516496407,-0.2841116,-2.0728683,2.8945792,1.024748,1.8725796
830005fffffffff,830001fffffffff,32.41364991071507,79.1345859133172,34.26932302338498,80.11677141025228,115.34841083348428,17.87875145040448,-0.2841116,-2.0728683,2.8945792,1.024748,0.0
830005fffffffff,830004fffffffff,32.41364991071507,79.1345859133172,35.9758018082166,78.28997925905192,121.74126871608205,138.70357813234915,-0.2841116,-2.0728683,2.8945792,1.024748,1.7774838
830005fffffffff,830023fffffffff,32.41364991071507,79.1345859133172,30.88226077950457,78.15617299998873,113.8337379591046,197.8787514504026,-0.2841116,-2.0728683,2.8945792,1.024748,1.7964491
830005fffffffff,83002afffffffff,32.41364991071507,79.1345859133172,28.26751429885717,79.93319689402763,122.00975429626516,318.7035781323494,-0.2841116,-2.0728683,2.8945792,1.024748,0.5507484
830005fffffffff,83002efffffffff,32.41364991071507,79.1345859133172,27.02051280487098,78.93037919687289,116.28557133991072,261.39952516496294,-0.2841116,-2.0728683,2.8945792,1.024748,0.8543031
830006fffffffff,830000fffffffff,41.20060633382336,78.33211415004435,38.02340700796989,79.24239850975904,122.29423767240137,327.3863067887936,-0.57959163,-1.587414,2.6511471,1.8250461,1.8725796
830006fffffffff,830002fffffffff,41.20060633382336,78.33211415004435,43.75098847490955,79.24756210656105,115.74090418181648,27.193715318993725,-0.57959163,-1.587414,2.6511471,1.8250461,1.9681301
830006fffffffff,830004fffffffff,41.20060633382336,78.33211415004435,35.9758018082166,78.28997925905192,117.75811281535144,270.2804325307329,-0.57959163,-1.587414,2.6511471,1.8250461,1.7774838
830006fffffffff,830015fffffffff,41.20060633382336,78.33211415004435,46.4729694675059,78.27865044836899,118.94047654071392,90.28043253073264,-0.57959163,-1.587414,2.6511471,1.8250461,0.6857187
