behavior,n_steps,total_distance_km,total_cost,mean_edge_distance_km,sum_w_cost,sum_c_cost,sum_d_cost,sum_f_cost,a_wind,b_crosswind,c_distance,d_food,status
wind_food_balanced,159,19137.502074437125,3808.969718916901,120.36164826690016,5419.599148128948,5106.86623393815,7949.810689427035,2198.340289704853,0.5,0.0,0.0,0.5,ok
wind_crosswind_food,159,19149.595584801194,4203.183322290482,120.43770808051066,5840.345948226951,4207.153929326277,7949.810689427035,2016.329214006062,0.4,0.3,0.0,0.3,ok
wind_dominant_with_food,159,19123.58071319519,4358.591671318223,120.27409253581881,5809.293083817651,4368.520185894313,7949.810689427035,1934.136974101778,0.5,0.2,0.0,0.3,ok
balanced_all_four,155,18663.3286768517,4968.463923263435,120.40857210872063,5821.753073565124,4171.740771417767,7749.815451957173,2130.54639611367,0.25,0.25,0.25,0.25,ok
wind_crosswind_distance,149,18151.808772827942,5780.795922954023,121.82421995186539,5695.706111715139,4225.22233180751,7449.822595752379,3376.611444740945,0.4,0.3,0.3,0.0,ok
wind_distance_balanced,122,15057.02761589647,6287.12658478161,123.41825914669238,6474.3984267323995,5047.229069440152,6099.854742830808,3485.30662563039,0.5,0.0,0.5,0.0,ok
