behavior,n_steps,total_distance_km,total_cost,mean_edge_distance_km,sum_w_cost,sum_c_cost,sum_d_cost,sum_f_cost,a_wind,b_crosswind,c_distance,d_food,status
food_only,205,24460.86505870501,1308.8038396167296,119.32129296929273,8387.410440585527,6162.261002495981,18646.31790480581,1308.8038396167296,0.0,0.0,0.0,1.0,ok
crosswind_only,214,26251.580995746957,3344.807877341553,122.67093923246242,11631.206456839684,3344.807877341553,20011.366056584204,5812.0243100187545,0.0,1.0,0.0,0.0,ok
support_only,180,21791.145097269342,4583.165030948962,121.0619172070519,4583.165030948962,5949.593554157586,16611.212155345824,5046.335290638589,1.0,0.0,0.0,0.0,ok
distance_only,122,15041.745861783833,11466.200173583198,123.2929988670806,6707.385794167229,4793.485396157384,11466.200173583198,3443.806223617469,0.0,0.0,1.0,0.0,ok
