behavior,n_steps,total_distance_km,total_cost,mean_edge_distance_km,sum_w_cost,sum_c_cost,sum_d_cost,sum_f_cost,a_wind,b_crosswind,c_distance,d_food,status
food_only,216,25728.263348636177,1411.306097580164,119.11233031776008,8770.745045622982,6302.473975673409,10799.742823372573,1411.306097580164,0.0,0.0,0.0,1.0,ok
crosswind_only,214,26370.073078398596,3425.715582227639,123.22464055326446,11489.392192697585,3425.715582227639,10699.745204637642,6157.67682898938,0.0,1.0,0.0,0.0,ok
support_only,194,23363.092647780242,5155.953943216631,120.42831261742393,5155.953943216631,6131.809915159661,9699.76901728833,5349.148513333319,1.0,0.0,0.0,0.0,ok
distance_only,133,16120.897888455542,6649.84164587293,121.20975855981611,7223.944283136348,4895.761271488674,6649.84164587293,3144.4795537574323,0.0,0.0,1.0,0.0,ok
