source_h3,target_h3,source_lon,source_lat,target_lon,target_lat,edge_distance_km,edge_bearing_deg,source_u10,source_v10,source_speed,source_chlor_a,target_chlor_a,windsupport_raw,parallel_wind_cost_raw,crosswind_cost_raw,distance_cost_raw,food_cost_raw,w_cost,c_cost,d_cost,f_cost,legacy_constant_distance_reference
830000fffffffff,830001fffffffff,38.02340700796989,79.24239850975904,34.26932302338498,80.11677141025228,122.61234295384858,324.269625587488,-0.4579234,-1.7766691,2.7535539,1.8725796,0.0,-1.174839605287369,8.742251999571632,1.4092547083513993,0.737910956242402,0.0,57.767202618827575,17.278652764446502,7.926922438058426,0.0,49.99880936746571
830000fffffffff,830002fffffffff,38.02340700796989,79.24239850975904,43.75098847490955,79.24756210656105,118.80166260100398,86.90986405342761,-0.4579234,-1.7766691,2.7535539,1.8725796,1.9681301,-0.5530322941299995,8.120444688414263,1.7494005295562476,0.0,0.0,53.65841360939886,21.44912776733049,0.0,0.0,49.99880936746571
830000fffffffff,830003fffffffff,38.02340700796989,79.24239850975904,40.49488067269076,80.19095721433925,116.30280970113368,23.73196793687429,-0.4579234,-1.7766691,2.7535539,1.8725796,1.4305017,-1.8107259499789101,9.378138344263172,0.29583519945290915,0.0,0.0,61.96902330738034,3.6271893622604092,0.0,0.0,49.99880936746571
830000fffffffff,830004fffffffff,38.02340700796989,79.24239850975904,35.9758018082166,78.28997925905192,114.80187808807652,203.7319679368733,-0.4579234,-1.7766691,2.7535539,1.8725796,1.7774838,1.8107259499789152,5.756686444305348,0.29583519945287784,0.0,0.0,38.039131365412466,3.627189362260025,0.0,0.0,49.99880936746571
830000fffffffff,830005fffffffff,38.02340700796989,79.24239850975904,32.41364991071507,79.1345859133172,117.57354581791456,266.9098640534259,-0.4579234,-1.7766691,2.7535539,1.8725796,1.024748,0.5530322941300522,7.014380100154211,1.749400529556231,0.0,0.0,46.34974106339364,21.449127767330285,0.0,0.0,49.99880936746571
830000fffffffff,830006fffffffff,38.02340700796989,79.24239850975904,41.20060633382336,78.33211415004435,122.29423767240137,144.26962558748983,-0.4579234,-1.7766691,2.7535539,1.8725796,1.8250461,1.1748396052874146,6.392572788996849,1.4092547083513618,0.41980567479518527,0.0,42.24095205396496,17.27865276444604,4.509713529805687,0.0,49.99880936746571
830001fffffffff,830000fffffffff,34.26932302338498,80.11677141025228,38.02340700796989,79.24239850975904,122.61234295384858,140.57612808059667,-0.2704201,-1.7256691,2.7201042,0.0,1.8725796,1.1612950334308305,6.4061173608534325,1.3047814830490605,0.737910956242402,2.7103483913337083,42.33045210805434,15.99772280020133,7.926922438058426,100.0,49.99880936746571
830001fffffffff,830003fffffffff,34.26932302338498,80.11677141025228,40.49488067269076,80.19095721433925,118.60685790574048,82.95068226340891,-0.2704201,-1.7256691,2.7201042,0.0,1.4305017,-0.4801563549275367,8.0475687492118,1.6794376284939911,0.0,2.7103483913337083,53.176862729127706,20.59132352038763,0.0,100.0,49.99880936746571
830001fffffffff,830005fffffffff,34.26932302338498,80.11677141025228,32.41364991071507,79.1345859133172,115.34841083348428,199.70416074653463,-0.2704201,-1.7256691,2.7201042,0.0,1.024748,1.7158002015047449,5.851612192779518,0.32724691243019616,0.0,2.7103483913337083,38.666383353357894,4.012323488869737,0.0,100.0,49.99880936746571
830001fffffffff,83000cfffffffff,34.26932302338498,80.11677141025228,29.808287305095263,80.94319884056402,122.84057596231628,320.5761280805988,-0.2704201,-1.7256691,2.7201042,0.0,0.5065826,-1.1612950334308787,8.728707427715142,1.3047814830490179,0.9661439647100991,2.7103483913337083,57.67770256473882,15.997722800200808,10.378688929155022,100.0,49.99880936746571
