population,best_behavior,best_rmse_km,n_compared_bands,a_wind,b_crosswind,c_distance,d_food
svalbard_spring,behavior_209,508.8656888600668,15,0.8,0.0,0.2,0.0
netherlands_spring,behavior_166,437.9284588516564,14,0.5,0.0,0.5,0.0
