latitude_band,bearing_sector,count,mean,median,min,max
-90,E,228,123.29389414064653,122.76783532859962,114.48526321372474,130.81646567063422
-90,N,218,122.74676704581326,124.57868878316523,108.07028794075318,130.48391647115747
-90,NE,220,123.44920919660335,123.65718298339104,112.63606324173068,130.63072644943597
-90,NW,217,122.63242662085305,124.35723586796112,108.95179944985914,130.71276324848716
-90,S,217,123.08804032402199,124.80045844448844,109.75858045949212,129.98989164812286
-90,SE,217,123.01611245285696,124.11323830432616,110.62917276898324,130.38262786041935
-90,SW,221,123.49592106762263,123.7927074708556,112.63606324173068,130.63072644943597
-90,W,226,123.33884478508496,122.66394310046911,115.7098920864937,130.65116277570877
-80,E,656,121.63187899938926,121.76076000964464,100.89322755831118,131.37849992517624
-80,N,680,121.74050369911377,122.84057596231034,102.40497030821886,131.37849992517724
-80,NE,676,121.36973569867828,122.9711938261674,96.80129053090693,131.31568777821568
-80,NW,675,120.17116045364573,123.13658518566857,94.47557041391786,131.37849992517624
-80,S,676,121.9374721971402,122.84096164115203,102.8906706126325,131.37849992517724
-80,SE,675,120.24523606295472,123.08276287423446,95.45039595259937,131.37849992517624
-80,SW,676,121.61500848569833,122.84096164115289,98.439985681113,131.37849992517624
-80,W,652,121.48490824783768,121.91873574543048,100.89322755831118,131.37849992517556
-70,E,1063,120.14289949604829,122.08072518832007,86.33526984855462,131.04414999399538
-70,N,1164,118.63497047185308,119.60255548804395,88.91355822038085,131.37849992517638
-70,NE,1142,117.30600470514891,120.7558149599193,86.33526984855489,131.37849992517738
-70,NW,1137,119.66173242504355,121.79437180853007,86.33526984855398,131.37849992517715
-70,S,1160,119.09917992207497,119.98817836574175,88.91355822038085,131.37849992517638
-70,SE,1140,119.37169810922978,121.74882861631167,86.33526984855398,131.37849992517715
-70,SW,1145,117.36063130428637,120.81655957552944,86.33526984855489,131.37849992517738
-70,W,1068,119.89182400741747,121.9187357454298,86.33526984855462,131.266860564822
-60,E,1525,118.72529078269433,120.5831360222872,87.95685245643557,131.044574482997
-60,N,1536,117.11069952674443,117.88769920359871,89.5900725599627,131.3156877782177
-60,NE,1548,118.84672966571937,119.2988806157316,90.83747111924323,131.37151634632576
-60,NW,1480,118.93343186097812,119.6933953246589,94.56295056162566,131.37151634632585
-60,S,1550,116.86060631312309,117.6920724355175,89.5900725599627,131.37849992517584
-60,SE,1477,119.07692953527781,119.90178148991292,96.77714994421278,131.378499925175
-60,SW,1529,119.03943626046082,119.5940578985061,97.69674440797807,131.37849992517638
-60,W,1533,118.56218971036351,120.4416944204974,87.95685245643557,131.18335310801828
-50,E,1739,119.2314189221092,121.880724802843,89.87416054622251,131.37849992517593
-50,N,1714,121.93056495478517,122.16097563069232,101.71973725271414,131.37849992517562
-50,NE,1875,118.10351208591686,120.3516154769505,87.95685245643446,131.1486459042971
