behavior,route_name,is_reference,mean_nearest_km,median_nearest_km,p95_nearest_km,max_nearest_km,fraction_within_1step
support_only,start_83eea8fffffffff_end_83076bfffffffff,True,0.0,0.0,0.0,0.0,1.0
support_only,start_83eea8fffffffff_end_830745fffffffff,False,5.896533413462872,0.0,0.0,233.14664133713856,0.9891304347826086
support_only,start_83eea8fffffffff_end_830749fffffffff,False,12.11935556385408,0.0,123.61002951097767,219.01074213508258,0.9664804469273743
support_only,start_83eea8fffffffff_end_83074efffffffff,False,13.045460889674294,0.0,124.45976582721826,214.69024726585604,0.9558011049723757
support_only,start_83eea8fffffffff_end_830769fffffffff,False,4.473629453830765,0.0,0.0,119.98801263124045,1.0
support_only,start_83eea8fffffffff_end_83076dfffffffff,False,7.462800155123282,0.0,0.0,209.37503254374818,0.967032967032967
support_only,start_83eea8fffffffff_end_8319a0fffffffff,False,0.8831507354547562,0.0,0.0,212.40595858172742,1.0
support_only,start_83eea8fffffffff_end_8319a4fffffffff,False,0.296159607592152,0.0,0.0,106.91361834076687,1.0
support_only,start_83eea8fffffffff_end_8319a5fffffffff,False,4.390910218373946,0.0,0.0,187.78158666276474,1.0
support_only,start_83ee12fffffffff_end_83076bfffffffff,False,10.06256961294932,0.0,126.37394066457915,261.6461855934707,0.9891304347826086
support_only,start_83ee12fffffffff_end_830745fffffffff,False,15.8290016430447,0.0,127.0917430801432,261.6461855934707,0.9786096256684492
support_only,start_83ee12fffffffff_end_830749fffffffff,False,22.137206368358044,0.0,130.18878265913324,261.6461855934707,0.9560439560439561
support_only,start_83ee12fffffffff_end_83074efffffffff,False,23.00080753640711,0.0,130.48373623934015,261.6461855934707,0.9456521739130435
support_only,start_83ee12fffffffff_end_830769fffffffff,False,14.499429509625312,0.0,126.37394066457915,261.6461855934707,0.9891304347826086
support_only,start_83ee12fffffffff_end_83076dfffffffff,False,17.4367059153996,0.0,129.7212610158429,261.6461855934707,0.9567567567567568
support_only,start_83ee12fffffffff_end_8319a0fffffffff,False,10.99386273688764,0.0,127.01996283858678,261.6461855934707,0.989010989010989
support_only,start_83ee12fffffffff_end_8319a4fffffffff,False,10.38393276666832,0.0,126.37394066457915,261.6461855934707,0.9890710382513661
support_only,start_83ee12fffffffff_end_8319a5fffffffff,False,14.44493543285576,0.0,126.98407271780857,261.6461855934707,0.9890710382513661
support_only,start_83ee13fffffffff_end_83076bfffffffff,False,9.371405832783053,0.0,126.25864282774863,226.29980404894633,0.994535519125683
support_only,start_83ee13fffffffff_end_830745fffffffff,False,15.159200051899127,0.0,126.87640235547399,233.14664133713856,0.9838709677419355
support_only,start_83ee13fffffffff_end_830749fffffffff,False,21.47557935392403,0.0,130.17072805975405,226.29980404894633,0.9613259668508287
support_only,start_83ee13fffffffff_end_83074efffffffff,False,22.34518836592067,0.0,130.4394932023091,226.29980404894633,0.9508196721311475
support_only,start_83ee13fffffffff_end_830769fffffffff,False,13.820454904999364,0.0,126.25864282774863,226.29980404894633,0.994535519125683
support_only,start_83ee13fffffffff_end_83076dfffffffff,False,16.767638847788447,0.0,129.40197204872285,226.29980404894633,0.9619565217391305
support_only,start_83ee13fffffffff_end_8319a0fffffffff,False,10.301453005239622,0.0,126.37394066457915,226.29980404894633,0.994475138121547
support_only,start_83ee13fffffffff_end_8319a4fffffffff,False,9.691750251993934,0.0,126.29707544002547,226.29980404894633,0.9945054945054945
support_only,start_83ee13fffffffff_end_8319a5fffffffff,False,13.763940253349935,0.0,126.37394066457915,226.29980404894633,0.9945054945054945
support_only,start_83ee8cfffffffff_end_83076bfffffffff,False,8.697171363082836,0.0,124.70689640550782,224.87440761580106,1.0
support_only,start_83ee8cfffffffff_end_830745fffffffff,False,14.55431511466603,0.0,125.43168851517089,233.14664133713856,0.989010989010989
support_only,start_83ee8cfffffffff_end_830749fffffffff,False,20.932820373456117,0.0,129.23118444236295,224.87440761580106,0.9661016949152542
support_only,start_83ee8cfffffffff_end_83074efffffffff,False,21.815107035477542,0.0,129.64282997402555,224.87440761580106,0.9553072625698324
support_only,start_83ee8cfffffffff_end_830769fffffffff,False,13.195654313879327,0.0,124.70689640550782,224.87440761580106,1.0
support_only,start_83ee8cfffffffff_end_83076dfffffffff,False,16.177224783987736,0.0,128.2206344602867,224.87440761580106,0.9666666666666667
support_only,start_83ee8cfffffffff_end_8319a0fffffffff,False,9.63384345104339,0.0,124.82769509045166,224.87440761580106,1.0
support_only,start_83ee8cfffffffff_end_8319a4fffffffff,False,9.019206988998851,0.0,124.70689640550782,224.87440761580106,1.0
support_only,start_83ee8cfffffffff_end_8319a5fffffffff,False,13.136769580899209,0.0,124.78742886213702,224.87440761580106,1.0
support_only,start_83eea1fffffffff_end_83076bfffffffff,False,9.704638152513425,0.0,126.37394066457915,226.5884238827395,0.9945652173913043
support_only,start_83eea1fffffffff_end_830745fffffffff,False,15.473988102123228,0.0,127.0917430801432,233.14664133713856,0.983957219251337
support_only,start_83eea1fffffffff_end_830749fffffffff,False,21.77730283375997,0.0,130.18878265913324,226.5884238827395,0.9615384615384616
support_only,start_83eea1fffffffff_end_83074efffffffff,False,22.642876075971216,0.0,130.48373623934015,226.5884238827395,0.9510869565217391
support_only,start_83eea1fffffffff_end_830769fffffffff,False,14.141498049189419,0.0,126.37394066457915,226.5884238827395,0.9945652173913043
support_only,start_83eea1fffffffff_end_83076dfffffffff,False,17.07975240977364,0.0,129.7212610158429,226.5884238827395,0.9621621621621622
support_only,start_83eea1fffffffff_end_8319a0fffffffff,False,10.633959202289565,0.0,127.01996283858678,226.5884238827395,0.9945054945054945
support_only,start_83eea1fffffffff_end_8319a4fffffffff,False,10.025017978044415,0.0,126.37394066457915,226.5884238827395,0.994535519125683
support_only,start_83eea1fffffffff_end_8319a5fffffffff,False,14.086020644231853,0.0,126.98407271780857,226.5884238827395,0.994535519125683
support_only,start_83eea3fffffffff_end_83076bfffffffff,False,1.0760394746476774,0.0,0.0,261.0273864588683,0.994535519125683
support_only,start_83eea3fffffffff_end_830745fffffffff,False,6.931643228026439,0.0,75.10926395741009,261.0273864588683,0.9838709677419355
support_only,start_83eea3fffffffff_end_830749fffffffff,False,13.134382242428794,0.0,124.45976582721826,261.0273864588683,0.9613259668508287
support_only,start_83eea3fffffffff_end_83074efffffffff,False,14.049822007785298,0.0,125.3792695034351,261.0273864588683,0.9508196721311475
support_only,start_83eea3fffffffff_end_830769fffffffff,False,5.525088546863987,0.0,0.0,261.0273864588683,0.994535519125683
support_only,start_83eea3fffffffff_end_83076dfffffffff,False,8.494999520771248,0.0,0.0,261.0273864588683,0.9619565217391305
support_only,start_83eea3fffffffff_end_8319a0fffffffff,False,1.9602558937443835,0.0,0.0,261.0273864588683,0.994475138121547
support_only,start_83eea3fffffffff_end_8319a4fffffffff,False,1.3735316449380757,0.0,0.0,261.0273864588683,0.9945054945054945
support_only,start_83eea3fffffffff_end_8319a5fffffffff,False,5.445721646294075,0.0,0.0,261.0273864588683,0.9945054945054945
support_only,start_83eeabfffffffff_end_83076bfffffffff,False,0.36117021542523525,0.0,0.0,130.38244776850993,1.0
support_only,start_83eeabfffffffff_end_830745fffffffff,False,6.270926218907851,0.0,0.0,233.14664133713856,0.9890710382513661
support_only,start_83eeabfffffffff_end_830749fffffffff,False,12.516296520211638,0.0,123.84550277276152,219.01074213508258,0.9662921348314607
support_only,start_83eeabfffffffff_end_83074efffffffff,False,13.442768115874248,0.0,124.66113446791081,214.69024726585604,0.9555555555555556
