behavior,a_wind,b_crosswind,c_distance,d_food,status,error_type,error_message
behavior_066,0.1,0.4,0.5,0.0,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_067,0.1,0.5,0.0,0.4,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_068,0.1,0.5,0.1,0.3,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_069,0.1,0.5,0.2,0.2,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_070,0.1,0.5,0.3,0.1,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_071,0.1,0.5,0.4,0.0,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_072,0.2,0.0,0.3,0.5,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_073,0.2,0.0,0.4,0.4,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_074,0.2,0.0,0.5,0.3,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_075,0.2,0.0,0.6,0.2,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_076,0.2,0.0,0.7,0.1,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_077,0.2,0.0,0.8,0.0,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_078,0.2,0.1,0.2,0.5,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_079,0.2,0.1,0.3,0.4,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_080,0.2,0.1,0.4,0.3,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_081,0.2,0.1,0.5,0.2,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_082,0.2,0.1,0.6,0.1,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_083,0.2,0.1,0.7,0.0,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_084,0.2,0.2,0.1,0.5,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_085,0.2,0.2,0.2,0.4,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_086,0.2,0.2,0.3,0.3,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_087,0.2,0.2,0.4,0.2,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_088,0.2,0.2,0.5,0.1,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_089,0.2,0.2,0.6,0.0,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_090,0.2,0.3,0.0,0.5,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_091,0.2,0.3,0.1,0.4,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_092,0.2,0.3,0.2,0.3,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_093,0.2,0.3,0.3,0.2,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_094,0.2,0.3,0.4,0.1,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_095,0.2,0.3,0.5,0.0,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_096,0.2,0.4,0.0,0.4,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_097,0.2,0.4,0.1,0.3,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_098,0.2,0.4,0.2,0.2,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_099,0.2,0.4,0.3,0.1,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_100,0.2,0.4,0.4,0.0,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_101,0.2,0.5,0.0,0.3,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_102,0.2,0.5,0.1,0.2,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_103,0.2,0.5,0.2,0.1,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_104,0.2,0.5,0.3,0.0,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_105,0.3,0.0,0.2,0.5,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_106,0.3,0.0,0.3,0.4,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_107,0.3,0.0,0.4,0.3,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_108,0.3,0.0,0.5,0.2,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_109,0.3,0.0,0.6,0.1,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_110,0.3,0.0,0.7,0.0,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_111,0.3,0.1,0.1,0.5,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_112,0.3,0.1,0.2,0.4,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_113,0.3,0.1,0.3,0.3,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_114,0.3,0.1,0.4,0.2,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_115,0.3,0.1,0.5,0.1,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_116,0.3,0.1,0.6,0.0,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_117,0.3,0.2,0.0,0.5,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_118,0.3,0.2,0.1,0.4,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_119,0.3,0.2,0.2,0.3,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_120,0.3,0.2,0.3,0.2,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_121,0.3,0.2,0.4,0.1,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_122,0.3,0.2,0.5,0.0,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_123,0.3,0.3,0.0,0.4,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_124,0.3,0.3,0.1,0.3,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_125,0.3,0.3,0.2,0.2,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_126,0.3,0.3,0.3,0.1,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_127,0.3,0.3,0.4,0.0,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_128,0.3,0.4,0.0,0.3,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_129,0.3,0.4,0.1,0.2,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_130,0.3,0.4,0.2,0.1,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_131,0.3,0.4,0.3,0.0,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_132,0.3,0.5,0.0,0.2,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_133,0.3,0.5,0.1,0.1,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_134,0.3,0.5,0.2,0.0,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_135,0.4,0.0,0.1,0.5,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_136,0.4,0.0,0.2,0.4,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_137,0.4,0.0,0.3,0.3,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_138,0.4,0.0,0.4,0.2,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_139,0.4,0.0,0.5,0.1,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_140,0.4,0.0,0.6,0.0,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_141,0.4,0.1,0.0,0.5,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_142,0.4,0.1,0.1,0.4,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_143,0.4,0.1,0.2,0.3,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_144,0.4,0.1,0.3,0.2,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_145,0.4,0.1,0.4,0.1,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_146,0.4,0.1,0.5,0.0,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_147,0.4,0.2,0.0,0.4,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_148,0.4,0.2,0.1,0.3,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_149,0.4,0.2,0.2,0.2,failed,NodeNotFound,Target 831951fffffffff is not in G
